timestamp,total_duration,time_between_movements,hover_time,position_x,position_y,velocity,acceleration,jerk,path_length,click_events,scroll_events,average_velocity,peak_velocity,average_acceleration,peak_acceleration,average_momentum,peak_momentum,smoothness,deviation_from_ideal_path,idle_time,fitts_index_of_difficulty,fitts_movement_time
1755143544.3156,0.572103,0.016907,0.016926,65.1328125,65.95703125,129.64306436374028,-2338.792028142221,-9468.916685304705,238.60372366287427,None,None,727.1881058689734,1881.787933205751,2487.1880652601717,21434.01548307814,727.1881058689734,1881.787933205751,0.0000046285230831902925,1.014073992942757,0,1.7454190188566663,0.572103
1755143544.3320,0.588496,0.016393,0.033319,64.75,65.57421875,100.65764147405241,-2167.601980664989,10442.874853732224,239.14510229222023,None,None,698.709448396477,1881.787933205751,2265.5313964065926,21434.01548307814,698.709448396477,1881.787933205751,0.0000048597665485972165,1.0143051550777464,0,1.7474834001179809,0.588496
1755143544.3321,0.588518,0.000022,0.033341,64.75,65.19140625,99.17128653183669,-1628.7980071316715,134700.9933833293,239.52791479222023,None,None,672.6425717936665,1881.787933205751,2088.51642351849,21434.01548307814,672.6425717936665,1881.787933205751,0.000004941031127160434,1.0154315398179776,0,1.7479794073585784,0.588518
1755143544.3489,0.605399,0.016881,0.050222,64.75,64.87890625,74.97348152128158,-1570.1889055174072,3471.897495069268,239.84041479222023,None,None,647.7396930323172,1881.787933205751,1929.4422787777987,21434.01548307814,647.7396930323172,1881.787933205751,0.000005172093276752595,1.0163484179719922,0,1.7483859818817489,0.605399
1755143544.3646,0.621037,0.015638,0.06586,64.75,64.87890625,52.48143706489711,-1530.620489196329,2530.2734570327602,239.84041479222023,None,None,623.9293627936203,1881.787933205751,1785.2729967788766,21434.01548307814,623.9293627936203,1881.787933205751,0.000005403973844752074,1.0163484179719922,-0.00000000000000011102230246251565,1.7483859818817489,0.621037
1755143544.3646,0.621074,0.000037,0.065897,64.75,64.578125,59.295599695427974,-560.3721451476151,242562.08601217842,240.14119604222023,Left,None,602.212679597536,1881.787933205751,1691.447191101817,21434.01548307814,602.212679597536,1881.787933205751,0.000005334887239819508,1.0172286896997709,0,1.7487787249011593,0.621074
1755143544.3646,0,0,0,64.75,64.578125,0,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0
1755143544.4370,0.07243,0.07243,0.07243,64.75,64.578125,0,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0.07243
1755143544.6071,0.242445,0.170015,0.242445,64.9921875,64.578125,0.4273519983530865,0.7540840485011673,4.435397162021982,0.2421875,None,None,0.21367599917654326,0.4273519983530865,0.7540840485011673,0.7540840485011673,0.21367599917654326,0.4273519983530865,0,1,0,0.0034898028227651513,0.242445
1755143544.6143,0.249671,0.007226,0,73.73828125,64.578125,363.40849112622055,15070.323283461717,2085464.8767524518,8.98828125,None,None,121.27861437485787,363.40849112622055,7535.53868375511,15070.323283461717,121.27861437485787,363.40849112622055,0.0000004795093943549076,1,0,0.12417302040218957,0.249671
